"No","Categry","CategoryOfSequences_E","FXY1","Title_E","SubTitle_E","FXY2","ElementName_E","ExistingElementName_E","Note_E","Status"
716.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution",,"D01011",,"Date",,"Operational"
717.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution",,"D01012",,"Time",,"Operational"
718.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Position of Squall Line Centre","B05002","Latitude (coarse accuracy)","Latitude",,"Operational"
719.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Position of Squall Line Centre","B06002","Longitude (coarse accuracy)","Longitude",,"Operational"
720.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Position of Squall Line Centre","B19005","Direction of motion of feature","Direction of moving feature",,"Operational"
721.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Position of Squall Line Centre","B19006","Speed of motion of feature","Speed of moving feature",,"Operational"
722.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - North points","R02000","Delayed replication descriptor","Define delayed replication of next 2 descriptors",,"Operational"
723.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - North points","B05002","Latitude (coarse accuracy)","Latitude",,"Operational"
724.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - North points","B06002","Longitude (coarse accuracy)","Longitude",,"Operational"
725.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - South points","R02000","Delayed replication descriptor","Define delayed replication of next 2 descriptors",,"Operational"
726.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - South points","B05002","Latitude (coarse accuracy)","Latitude",,"Operational"
727.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - South points","B06002","Longitude (coarse accuracy)","Longitude",,"Operational"
728.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - Evolution","B04074","Short time period or displacement","Period of validity",,"Operational"
729.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - Evolution","B20048","Evolution of feature","Evolution of feature",,"Operational"
730.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - Evolution","B11041","Maximum wind gust speed","Maximum burst expected",,"Operational"
731.00,"16","Synoptic feature sequences","D16061","Definition of squall line (by centre and several points: North points and South points) and forecasted trajectory and evolution","Amplitude of feature from most external points to centre point - Evolution","B13055","Intensity of precipitation","Intensity of rain expected",,"Operational"
732.00,"35","Monitoring information","D35001","(Specify monitoring Station)",,"B08035","Type of monitoring exercise","Type of monitoring exercise",,"Operational"
733.00,"35","Monitoring information","D35001","(Specify monitoring Station)",,"B35001","Time-frame for monitoring","Time-frame for monitoring",,"Operational"
734.00,"35","Monitoring information","D35001","(Specify monitoring Station)",,"B08036","Type of centre or station performing monitoring","Type of Centre or Station performing monitoring",,"Operational"
735.00,"35","Monitoring information","D35001","(Specify monitoring Station)",,"D01001",,"WMO block and Station number",,"Operational"
736.00,"35","Monitoring information","D35002","(Specify monitoring Centre)",,"B08035","Type of monitoring exercise","Type of monitoring exercise",,"Operational"
737.00,"35","Monitoring information","D35002","(Specify monitoring Centre)",,"B35001","Time-frame for monitoring","Time-frame for monitoring",,"Operational"
738.00,"35","Monitoring information","D35002","(Specify monitoring Centre)",,"B08036","Type of centre or station performing monitoring","Type of Centre or Station performing monitoring",,"Operational"
739.00,"35","Monitoring information","D35002","(Specify monitoring Centre)",,"B01033","Identification of originating/generating centre","Identification of originating/generating Centre",,"Operational"
740.00,"35","Monitoring information","D35003","(Specify monitoring period)",,"B08021","Time significance","(23) Monitoring period",,"Operational"
741.00,"35","Monitoring information","D35003","(Specify monitoring period)",,"B04001","Year","Year",,"Operational"
742.00,"35","Monitoring information","D35003","(Specify monitoring period)",,"B04002","Month","Month",,"Operational"
743.00,"35","Monitoring information","D35003","(Specify monitoring period)",,"B04003","Day","Day",,"Operational"
744.00,"35","Monitoring information","D35003","(Specify monitoring period)",,"B04004","Hour","Hour",,"Operational"
745.00,"35","Monitoring information","D35003","(Specify monitoring period)",,"B04073","Short time period or displacement","Short period or displacement",,"Operational"
746.00,"35","Monitoring information","D35004","(Specify report type and single Station being monitored)",,"B08021","Time significance","(24) Agreed time limit for report reception",,"Operational"
747.00,"35","Monitoring information","D35004","(Specify report type and single Station being monitored)",,"B04004","Hour","Hour",,"Operational"
748.00,"35","Monitoring information","D35004","(Specify report type and single Station being monitored)",,"B08021","Time significance","(25) Nominal reporting time",,"Operational"
749.00,"35","Monitoring information","D35004","(Specify report type and single Station being monitored)",,"B04004","Hour","Hour",,"Operational"
750.00,"35","Monitoring information","D35004","(Specify report type and single Station being monitored)",,"B35000","FM and regional code number","FM and Regional code number",,"Operational"
751.00,"35","Monitoring information","D35004","(Specify report type and single Station being monitored)",,"D01001",,"(WMO Station identifier)",,"Operational"
752.00,"35","Monitoring information","D35004","(Specify report type and single Station being monitored)",,"B35011","Number of reports actually received","Number of reports actually received",,"Operational"
753.00,"35","Monitoring information","D35005","(Specify report type and WMO block being monitored)",,"B08021","Time significance","(24) Agreed time limit for report reception",,"Operational"
754.00,"35","Monitoring information","D35005","(Specify report type and WMO block being monitored)",,"B04004","Hour","Hour",,"Operational"
755.00,"35","Monitoring information","D35005","(Specify report type and WMO block being monitored)",,"B08021","Time significance","(25) Nominal reporting time",,"Operational"
756.00,"35","Monitoring information","D35005","(Specify report type and WMO block being monitored)",,"B04004","Hour","Hour",,"Operational"
757.00,"35","Monitoring information","D35005","(Specify report type and WMO block being monitored)",,"B35000","FM and regional code number","FM and Regional code number",,"Operational"
758.00,"35","Monitoring information","D35005","(Specify report type and WMO block being monitored)",,"B01001","WMO block number","WMO Block Number",,"Operational"
759.00,"35","Monitoring information","D35005","(Specify report type and WMO block being monitored)",,"B35011","Number of reports actually received","Number of reports actually received",,"Operational"
760.00,"35","Monitoring information","D35006","(Specify report type and WMO Region being monitored)",,"B08021","Time significance","(24) Agreed time limit for report reception",,"Operational"
761.00,"35","Monitoring information","D35006","(Specify report type and WMO Region being monitored)",,"B04004","Hour","Hour",,"Operational"
762.00,"35","Monitoring information","D35006","(Specify report type and WMO Region being monitored)",,"B08021","Time significance","(25) Nominal reporting time",,"Operational"
763.00,"35","Monitoring information","D35006","(Specify report type and WMO Region being monitored)",,"B04004","Hour","Hour",,"Operational"
764.00,"35","Monitoring information","D35006","(Specify report type and WMO Region being monitored)",,"B35000","FM and regional code number","FM and Regional code number",,"Operational"
765.00,"35","Monitoring information","D35006","(Specify report type and WMO Region being monitored)",,"B01003","WMO Region number/geographical area","WMO Region/geographical area",,"Operational"
766.00,"35","Monitoring information","D35006","(Specify report type and WMO Region being monitored)",,"B35011","Number of reports actually received","Number of reports actually received",,"Operational"
767.00,"35","Monitoring information","D35007","(Report type and multiple stations from one block being monitored)",,"B08021","Time significance","(24) Agreed time limit for report reception",,"Operational"
768.00,"35","Monitoring information","D35007","(Report type and multiple stations from one block being monitored)",,"B04004","Hour","Hour",,"Operational"
769.00,"35","Monitoring information","D35007","(Report type and multiple stations from one block being monitored)",,"B08021","Time significance","(25) Nominal reporting time",,"Operational"
770.00,"35","Monitoring information","D35007","(Report type and multiple stations from one block being monitored)",,"B04004","Hour","Hour",,"Operational"
771.00,"35","Monitoring information","D35007","(Report type and multiple stations from one block being monitored)",,"B35000","FM and regional code number","FM and Regional code number",,"Operational"
772.00,"35","Monitoring information","D35007","(Report type and multiple stations from one block being monitored)",,"B01001","WMO block number","WMO block Number",,"Operational"
773.00,"35","Monitoring information","D35007","(Report type and multiple stations from one block being monitored)",,"R02000","Delayed replication descriptor","Delayed replication (2 descriptors) - count of stations",,"Operational"
774.00,"35","Monitoring information","D35007","(Report type and multiple stations from one block being monitored)",,"B01002","WMO station number","WMO Station number",,"Operational"
775.00,"35","Monitoring information","D35007","(Report type and multiple stations from one block being monitored)",,"B35011","Number of reports actually received","Number of reports actually received",,"Operational"
776.00,"35","Monitoring information","D35010","(Monitoring a report type from multiple stations)",,"D35002","(Specify monitoring Centre)","(Specify Monitoring centre)",,"Operational"
777.00,"35","Monitoring information","D35010","(Monitoring a report type from multiple stations)",,"D35003","(Specify monitoring period)","(Specify Monitoring period)",,"Operational"
778.00,"35","Monitoring information","D35010","(Monitoring a report type from multiple stations)",,"D35007","(Report type and multiple stations from one block being monitored)","(Specify report type and multiple Stations being monitored)",,"Operational"
