#
# BUFR Code and Flag Table
# hand modified from BC_CodeFlagTable.xls file from AShimazaki@wmo.int Dec 01, 2009
#
SNo,FXY,CodeFigure,enDescription1,enDescription2,enDescription3
2249,020003,120,Fog,,
2250,020003,121,PRECIPITATION,,
2251,020003,122,Drizzle (not freezing) or snow grains,,
2252,020003,123,Rain (not freezing),,
2253,020003,124,Snow,,
2254,020003,125,Freezing drizzle or freezing rain,,
2255,020003,126,Thunderstorm (with or without precipitation),,
2256,020003,127,Blowing OR DRIFTING SNOW OR SAND,,
2257,020003,128,"Blowing or drifting snow or sand, visibility equal to, or greater than, 1 km",,
2258,020003,129,"Blowing or drifting snow or sand, visibility less than 1 km",,
2259,020003,130,FOG,,
2260,020003,131,Fog or ice fog In patches,,
2261,020003,132,"Fog or ice fog, has become thinner during the past hour",,
2262,020003,133,"Fog or ice fog, no appreciable change during the past hour",,
2263,020003,134,"Fog or ice fog, has begun or become thicker during the past hour",,
2264,020003,135,"Fog, depositing rime",,
2265,020003,136-139,Reserved,,
2266,020003,140,PRECIPITATION,,
2267,020003,141,"Precipitation, slight or moderate",,
2268,020003,142,"Precipitation, heavy",,
2269,020003,143,"Liquid precipitation, slight or moderate",,
2270,020003,144,"Liquid precipitation, heavy",,
2271,020003,145,"Solid precipitation, slight or moderate",,
2272,020003,146,"Solid precipitation, heavy",,
2273,020003,147,"Freezing precipitation, slight or moderate",,
2274,020003,148,"Freezing precipitation, heavy",,
2275,020003,149,Reserved,,
2276,020003,150,DRIZZLE,,
2277,020003,151,"Drizzle, not freezing, slight",,
2278,020003,152,"Drizzle, not freezing, moderate",,
2279,020003,153,"Drizzle, not freezing, heavy",,
2280,020003,154,"Drizzle, freezing, slight",,
2281,020003,155,"Drizzle, freezing, moderate",,
2282,020003,156,"Drizzle, freezing, heavy",,
2283,020003,157,"Drizzle and rain, slight",,
2284,020003,158,"Drizzle and rain, moderate or heavy",,
2285,020003,159,Reserved,,
2286,020003,160,RAIN,,
2287,020003,161,"Rain, not freezing, slight",,
2288,020003,162,"Rain, not freezing, moderate",,
2289,020003,163,"Rain, not freezing, heavy",,
2290,020003,164,"Rain, freezing, slight",,
2291,020003,165,"Rain, freezing, moderate",,
2292,020003,166,"Rain, freezing, heavy",,
2293,020003,167,"Rain (or drizzle) and snow, slight",,
2294,020003,168,"Rain (or drizzle) and snow, moderate or heavy",,
2295,020003,169,Reserved,,
2296,020003,170,SNOW,,
2297,020003,171,"Snow, slight",,
2298,020003,172,"Snow, moderate",,
2299,020003,173,"Snow, heavy",,
2300,020003,174,"Ice pellets, slight",,
2301,020003,175,"Ice pellets, moderate",,
2302,020003,176,"Ice pellets, heavy",,
2303,020003,177,Snow grains,,
2304,020003,178,Ice crystals,,
2305,020003,179,Reserved,,
2306,020003,180,SHOWER(S) or intermittent PRECIPITATION,,
2307,020003,181,"Rain shower(s) or intermittent rain, slight",,
2308,020003,182,"Rain shower(s) or intermittent rain, moderate",,
2309,020003,183,"Rain shower(s) or intermittent rain, heavy",,
2310,020003,184,"Rain shower(s) or intermittent rain, violent",,
2311,020003,185,"Snow shower(s) or intermittent snow, slight",,
2312,020003,186,"Snow shower(s) or intermittent snow, moderate",,
2313,020003,187,"Snow shower(s) or intermittent snow, heavy",,
2314,020003,188,Reserved,,
2315,020003,189,Hail,,
2316,020003,190,THUNDERSTORM,,
2317,020003,191,"Thunderstorm, slight or moderate, with no precipitation",,
2318,020003,192,"Thunderstorm, slight or moderate, with rain showers and/or snow showers",,
2319,020003,193,"Thunderstorm, slight or moderate, with hail",,
2320,020003,194,"Thunderstorm, heavy, with no precipitation",,
2321,020003,195,"Thunderstorm, heavy, With rain showers and/or snow showers",,
2322,020003,196,"Thunderstorm, heavy, with hail",,
2323,020003,197-198,Reserved,,
2324,020003,199,Tornado,,
2325,020003,200-203,Not used,,
2326,020003,204,Volcanic ash suspended In the air aloft,,
2327,020003,205,Not used,,
2328,020003,206,"Thick dust haze, visibility less than 1 km",,
2329,020003,207,Blowing spray at the station,,
2330,020003,208,Drifting dust (sand),,
2331,020003,209,Wall of dust or sand in distance (like haboob),,
2332,020003,210,Snow haze,,
2333,020003,211,Whiteout,,
2334,020003,212,Not used,,
2335,020003,213,"Lightning, cloud to surface",,
2336,020003,214-216,Not used,,
2337,020003,217,Dry thunderstorm,,
2338,020003,218,Not used,,
2339,020003,219,Tornado cloud (destructive) at or within sight of the station during preceding hour or at the time of observation,,
2340,020003,220,Deposition of volcanic ash,,
2341,020003,221,Deposition of dust or sand,,
2342,020003,222,Deposition of dew,,
2343,020003,223,Deposition of wet snow,,
2344,020003,224,Deposition of soft rime,,
2345,020003,225,Deposition of hard rime,,
2346,020003,226,Deposition of hoarfrost,,
2347,020003,227,Deposition of glaze,,
2348,020003,228,Deposition of ice crust (ice slick),,
2349,020003,229,Not used,,
2350,020003,230,Duststorm or sandstorm with temperature below 00C,,
2351,020003,231-238,Not used,,
2352,020003,239,"Blowing snow, impossible to determine whether snow is falling or not",,
2353,020003,240,Not used,,
2354,020003,241,Fog on sea,,
2355,020003,242,Fog in valleys,,
2356,020003,243,Arctic or Antarctic sea smoke,,
2357,020003,244,"Steam fog (sea, lake or river)",,
2358,020003,245,Steam log (land),,
2359,020003,246,Fog over ice or snow cover,,
2360,020003,247,"Dense fog, visibility 60-90 m",,
2361,020003,248,"Dense fog, visibility 30-60 m",,
2362,020003,249,"Dense fog, visibility less than 30 m",,
2363,020003,250,"Drizzle, rate of fall - less than 0.10 mm h-1",,
2364,020003,251,"Drizzle, rate of fall - 0.10 0.19 mm h-1",,
2365,020003,252,"Drizzle, rate of fall -0.20 0.39 mm h-1",,
2366,020003,253,"Drizzle, rate of fall - O.40 0.79 mm h-1",,
2367,020003,254,"Drizzle, rate of fall - O.80 1.59 mm h-1",,
2368,020003,255,"Drizzle, rate of fall - l.60 3.19 mm h-1",,
2369,020003,256,"Drizzle, rate of fall - 3.20-6.39 mm h-1",,
2370,020003,257,"Drizzle, rate of fall - 6.4 mm h-1 or more",,
2371,020003,258,Not used,,
2372,020003,259,Drizzle and snow,,
2373,020003,260,"Rain, rate of fall - less than 1.0 mm h-1",,
2374,020003,261,Rain - 1.  1.9 mm h-1,,
2375,020003,262,Rain - 2.- 3.9 mm h-1,,
2376,020003,263,Rain - 4.- 7.9 mm h-1,,
2377,020003,264,Rain - 8.-15.9 mm h-1,,
2378,020003,265,Rain - 16.0-31.9 mm h-1,,
2379,020003,266,Rain - 32.0-63.9 mm h-1,,
2380,020003,267,Rain - 64.0 mm h-1 or more,,
2381,020003,268-269,Not used,,
2382,020003,270,"Snow, rate of fall - less than 1.0 cm h-1",,
2383,020003,271,Snow - 1.0 1.9 cm h-1,,
2384,020003,272,Snow - 2.0-3.9 cm h-1,,
2385,020003,273,Snow - 4.0 7.9 cm h-1,,
2386,020003,274,Snow - 8.0-15.9 cm h-1,,
2387,020003,275,Snow - 16.0-31.9 cm h-1,,
2388,020003,276,Snow - 32.0-63.9 cm h-1,,
2389,020003,277,Snow - 64.0 cm h-1 or more,,
2390,020003,278,Snow or Ice crystal precipitation from a clear sky,,
2391,020003,279,"Wet snow, freezing on contact",,
2392,020003,280,Precipitation of rain,,
2393,020003,281,"Precipitation of rain, freezing",,
2394,020003,282,Precipitation of rain and snow mixed.,,
2395,020003,283,Precipitation of snow,,
2396,020003,284,Precipitation of snow pellets or small hall,,
2397,020003,285,"Precipitation of snow pellets or small hail, with rain",,
2398,020003,286,"Precipitation of snow pellets or small hail, with rain and snow mixed",,
2399,020003,287,"Precipitation of snow pellets or small hail, with snow",,
2400,020003,288,Precipitation of hail,,
2401,020003,289,"Precipitation of hail, with rain",,
2402,020003,290,"Precipitation of hall, with rain and snow mixed",,
2403,020003,291,"Precipitation of hail, with snow",,
2404,020003,292,Shower(s) or thunderstorm over sea,,
2405,020003,293,Shower(s) or thunderstorm over mountains,,
2406,020003,294-299,Not used,,
2407,020003,300-507,Reserved,,
2408,020003,508,"No significant phenomenon to report, present and past weather omitted",,
2409,020003,509,"No observation, data not available, present and past weather omitted",,
2410,020003,510,"Present and past weather missing, but expected",,
2411,020003,511,Missing value,,
2412,020004,0,Cloud covering 1/2 or less of the sky throughout the appropriate period,,
2413,020004,1,Cloud coverIng more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period,,
2414,020004,2,Cloud covering more than 1/2 of the sky throughout the appropriate period,,
2415,020004,3,"Sandstorm, duststorm or blowing snow",,
2416,020004,4,Fog or ice fog or thick haze,,
2417,020004,5,Drizzle,,
2418,020004,6,Rain,,
2419,020004,7,"Snow, or rain and snow mixed",,
2420,020004,8,Shower(s),,
2421,020004,9,Thunderstorm(s) with or without precipitation,,
2422,020004,10,No significant weather observed,,
2423,020004,11,Visibility REDUCED,,
2424,020004,12,"Blowing phenomena, visibility reduced",,
2425,020004,13,FOG,,
2426,020004,14,PRECIPITATION,,
2427,020004,15,Drizzle,,
2428,020004,16,Rain,,
2429,020004,17,Snow or ice pellets,,
2430,020004,18,Showers or intermittent precipitation,,
2431,020004,19,Thunderstorm,,
2432,020004,20-30,Reserved,,
2433,020004,31,Missing value,,
2434,020005,0,Cloud covering 1/2 or less of the sky throughout the appropriate period,,
2435,020005,1,Cloud coverIng more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period,,
2436,020005,2,Cloud covering more than 1/2 of the sky throughout the appropriate period,,
2437,020005,3,"Sandstorm, duststorm or blowing snow",,
2438,020005,4,Fog or ice fog or thick haze,,
2439,020005,5,Drizzle,,
2440,020005,6,Rain,,
2441,020005,7,"Snow, or rain and snow mixed",,
2442,020005,8,Shower(s),,
2443,020005,9,Thunderstorm(s) with or without precipitation,,
2444,020005,10,No significant weather observed,,
2445,020005,11,Visibility REDUCED,,
2446,020005,12,"Blowing phenomena, visibility reduced",,
2447,020005,13,FOG,,
2448,020005,14,PRECIPITATION,,
2449,020005,15,Drizzle,,
2450,020005,16,Rain,,
2451,020005,17,Snow or ice pellets,,
2452,020005,18,Showers or intermittent precipitation,,
2453,020005,19,Thunderstorm,,
2454,020005,20-30,Reserved,,
2455,020005,31,Missing value,,
2456,020006,0,Low Instrument Flight Rules - Ceiling < 500 feet and/or Visibility < 1 mile,,
2457,020006,1,Instrument Flight Rules - Ceiling < 1000 feet and/or Visibility < 3 miles,,
2458,020006,2,Marginal Visual Flight Rules - 1000 feet <= Ceiling < 3000 feet and/or 3 miles <= Visibility < 5 miles,,
2459,020006,3,Visual Flight Rules - Ceiling >= 3000 feet and/or Visibility >= 5 miles,,
2460,020006,4-6,Reserved,,
2461,020006,7,Missing value,,
2462,020008,0,Sky Clear,,
2463,020008,1,Few,,
2464,020008,2,Scattered,,
2465,020008,3,Broken,,
2466,020008,4,Overcast,,
2467,020008,5,Reserved,,
2468,020008,6,Scattered/Broken,(Many forecasts use scattered/broken or broken/overcast followed by cloud type(s)),
2469,020008,7,Broken/Overcast,(Many forecasts use scattered/broken or broken/overcast followed by cloud type(s)),
2470,020008,8,Isolated,(Used on aviation charts to describe the cloud type Cb),
2471,020008,9,Isolated embedded,(Used on aviation charts to describe the cloud type Cb),
2472,020008,10,Occasional,(Used on aviation charts to describe the cloud type Cb),
2473,020008,11,Occasional embedded,(Used on aviation charts to describe the cloud type Cb),
2474,020008,12,Frequent,(Used on aviation charts to describe the cloud type Cb),
2475,020008,13,Dense,(Used on aviation charts to describe cloud that would cause sudden changes in visibility (less than 1 000 m)),
2476,020008,14,Layers,,
2477,020008,15,Obscured (OBSC),,
2478,020008,16,Embedded (EMBD),,
2479,020008,17,Frequent embedded,,
2480,020008,18-30,Reserved,,
2481,020008,31,Missing value,,
2482,020009,0,Reserved,,
2483,020009,1,NSC Nil Significant Cloud,,
2484,020009,2,CAVOK,,
2485,020009,3,SKC Sky Clear,,
2486,020009,4,NSW Nil Significant Weather,,
2487,020009,5-14,Reserved,,
2488,020009,15,Missing value,,
2489,020011,0,0,0,
2490,020011,1,"1 okta or less, but not zero","1/10 or less, but not zero",
2491,020011,2,2 oktas,2/10 – 3/10,
2492,020011,3,3 oktas,4/10,
2493,020011,4,4 oktas,5/10,
2494,020011,5,5 oktas,6/10,
2495,020011,6,6 oktas,7/10 – 8/10,
2496,020011,7,"7 oktas or more, but not 8 oktas","9/10 or more, but not 10/10",
2497,020011,8,8 oktas,10/10,
2498,020011,9,Sky obscured by fog and/or other meteorological phenomena,,
2499,020011,10,Sky partially obscured by fog and/or other meteorological phenomena,,
2500,020011,11,Scattered,,
2501,020011,12,Broken,,
2502,020011,13,Few,,
2503,020011,14,Reserved,,
2504,020011,15,"Cloud cover is indiscernible for reasons other than fog or other meteorological phenomena, or observation is not made",,
2505,020012,0,Cirrus (Ci),,
2506,020012,1,Cirrocumulus (Cc),,
2507,020012,2,Cirrostratus (Cs),,
2508,020012,3,Altocumulus (Ac),,
2509,020012,4,Altostratus (As),,
2510,020012,5,Nimbostratus (Ns),,
2511,020012,6,Stratocumulus (Sc),,
2512,020012,7,Stratus(St),,
2513,020012,8,Cumulus (Cu),,
2514,020012,9,Cumulonimbus (Cb),,
2515,020012,10,No CH clouds,,
2516,020012,11,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky",,
2517,020012,12,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus",,
2518,020012,13,Cirrus spissatus cumulonimbogenitus,,
2519,020012,14,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole",,
2520,020012,15,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon",,
2521,020012,16,"Cirrus (often In bands) and Cirrostratus, or Cirrostratus alone, progressively Invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered",,
2522,020012,17,Cirrostratus covering the whole sky,,
2523,020012,18,Cirrostratus not progressively invading the sky and not entirely covering It,,
2524,020012,19,"Cirrocumulus alone, or Cirrocumulus predominant among the CH clouds",,
2525,020012,20,No CM clouds,,
2526,020012,21,Altostratus translucidus,,
2527,020012,22,Altostratus opacus or Nimbostratus,,
2528,020012,23,Altocumulus translucidus at a single level,,
2529,020012,24,"Patches (often Lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels",,
2530,020012,25,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively Invading the sky;these Altocumulus clouds generally thicken as a whole",,
2531,020012,26,Altocumulus cumulogenitus (or cumulonimbogenitus),,
2532,020012,27,"Altocumulus translucidus or opacus In two or more layers, or Altocumulus opacus In a single layer, not progressively Invading the sky, or Altocumulus with Altostratus or Nimbostratus",,
2533,020012,28,Altocumulus castellanus or floccus,,
2534,020012,29,"Altocumulus of a chaotic sky, generally at several levels",,
2535,020012,30,No CL clouds,,
2536,020012,31,"Cumulus humilis or Cumulus fractus other than of bad weather,* or both",,
2537,020012,32,"Cumulus mediocris or congestus, Towering cumulus (TCU), with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level",,
2538,020012,33,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus",,
2539,020012,34,Stratocumulus cumulogenitus,,
2540,020012,35,Stratocumulus other than Stratocumulus cumulogenitus,,
2541,020012,36,"Stratus nebulosus or Stratus fractus other than of bad weather*, or both",,
2542,020012,37,"Stratus fractus or Cumulus fractus of bad weather*, or both (pannus),usually below Altostratus or Nimbostratus",,
2543,020012,38,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels",,
2544,020012,39,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus",,
2545,020012,40,CH,,
2546,020012,41,CM,,
2547,020012,42,CL,,
2548,020012,43-58,Reserved,,
2549,020012,59,"Cloud not visible owing to darkness, fog, duststorm, sandstorm, or other analogous phenomena",,
2550,020012,60,"CH clouds Invisible owing to darkness, fog, blowing dust or sand, or other similar phenomena, or because of a continuous layer of lower clouds",,
2551,020012,61,"CM clouds Invisible owing to darkness, fog, blowing dust or sand, or other similar phenomena, or because of continuous layer of lower clouds",,
2552,020012,62,"CL clouds invisible owing to darkness, fog, blowing dust or sand, or other similar phenomena",,
2553,020012,63,Missing value,,
2554,020017,0,Isolated cloud fragments of clouds,,
2555,020017,1,Continuous cloud,flat tops,
2556,020017,2,Broken cloud - small breaks,flat tops,
2557,020017,3,Broken cloud - large breaks,flat tops,
2558,020017,4,Continuous cloud,undulating tops,
2559,020017,5,Broken cloud - small breaks,undulating tops,
2560,020017,6,Broken cloud - large breaks,undulating tops,
2561,020017,7,Continuous or almost continuous waves with towering clouds above the top of the layer,,
2562,020017,8,Groups of waves with towering clouds above the top of the layer,,
2563,020017,9,Two or more layers at different levels,,
2564,020017,10-14,Reserved,,
2565,020017,15,Missing value,,
2566,020018,0,Increasing (U),,
2567,020018,1,Decreasing (D),,
2568,020018,2,No distinct change (N),,
2569,020018,3,Missing value,,
2570,020021,1,Precipitation-unknown type,,
2571,020021,2,Liquid precipitation not freezing,,
2572,020021,3,Liquid freezing precipitation,,
2573,020021,4,Drizzle,,
2574,020021,5,Rain,,
2575,020021,6,Solid precipitation,,
2576,020021,7,Snow,,
2577,020021,8,Snow grains,,
2578,020021,9,Snow pellets,,
2579,020021,10,Ice pellets,,
2580,020021,11,Ice crystals,,
2581,020021,12,Diamond dust,,
2582,020021,13,Small hail,,
2583,020021,14,Hail,,
2584,020021,15,Glaze,,
2585,020021,16,Rime,,
2586,020021,17,Soft rime,,
2587,020021,18,Hard rime,,
2588,020021,19,Clear ice,,
2589,020021,20,Wet snow,,
2590,020021,21,Hoar frost,,
2591,020021,22,Dew,,
2592,020021,23,White dew,,
2593,020021,24-29,Reserved,,
2594,020021,All 30,Missing value,,
2595,020022,0,No precipitation,,
2596,020022,1,Continuous,,
2597,020022,2,Intermittent,,
2598,020022,3,Shower,,
2599,020022,4,Not reaching ground,,
2600,020022,5,Deposition,,
2601,020022,6-14,Reserved,,
2602,020022,15,Missing value,,
2603,020023,1,Dust/sand whirl,,
2604,020023,2,Squalls,,
2605,020023,3,Sand storm,,
2606,020023,4,Dust storm,,
2607,020023,5,Lightning - cloud to surface,,
2608,020023,6,Lightning - cloud to cloud,,
2609,020023,7,Lightning - distant,,
2610,020023,8,Thunderstorm,,
2611,020023,9,Funnel Cloud not touching surface,,
2612,020023,10,Funnel cloud touching surface,,
2613,020023,11,Spray,,
2614,020023,12,Water-spout,,
2615,020023,13-17,Reserved,,
2616,020023,13,Wind shear,,
2617,020023,14-17,Reserved,,
2618,020023,All 18,Missing value,,
2619,020024,0,No phenomena,,
2620,020024,1,Light,,
2621,020024,2,Moderate,,
2622,020024,3,Heavy,,
2623,020024,4,Violent,,
2624,020024,5,Severe,,
2625,020024,6,Reserved,,
2626,020024,7,Missing value,,
2627,020025,1,Fog,,
2628,020025,2,Ice fog,,
2629,020025,3,Steam fog,,
2630,020025,4-6,Reserved,,
2631,020025,7,Mist,,
2632,020025,8,Haze,,
2633,020025,9,Smoke,,
2634,020025,10,Volcanic ash,,
2635,020025,11,Dust,,
2636,020025,12,Sand,,
2637,020025,13,Snow,,
2638,020025,14-20,Reserved,,
2639,020025,14,Cloud,,
2640,020025,15,Precipitation,,
2641,020025,16-20,Reserved,,
2642,020025,All 21,Missing value,,
2643,020026,0,No change,,
2644,020026,1,Shallow,,
2645,020026,2,Patches,,
2646,020026,3,Partial,,
2647,020026,4,Freezing,,
2648,020026,5,Low drifting,,
2649,020026,6,Blowing,,
2650,020026,7,Increasing,,
2651,020026,8,Decreasing,,
2652,020026,9,In suspension in the air,,
2653,020026,10,Wall,,
2654,020026,11,Dense,,
2655,020026,12,Whiteout,,
2656,020026,13-14,Reserved,,
2657,020026,15,Missing value,,
2658,020027,1,At time of observation,,
2659,020027,2,In past hour,,
2660,020027,3,In time period for past weather W1W2,,
2661,020027,4,In time period specified,,
2662,020027,5,Reserved,,
2663,020027,6,Below station level,,
2664,020027,7,At the station,,
2665,020027,8,In the vicinity,,
2666,020027,All 9,Missing value,,
2667,020028,0,No change (NC),,
2668,020028,1,Forecast to weaken (WKN),,
2669,020028,2,Forecast to intensify (INTSF),,
2670,020028,3-6,Reserved,,
2671,020028,7,Missing value,,
2672,020029,0,No rain,,
2673,020029,1,Rain,,
2674,020029,2,Reserved,,
2675,020029,3,Missing value,,
2676,020032,0,Ice not building up,,
2677,020032,1,Ice building up slowly,,
2678,020032,2,Ice building up rapidly,,
2679,020032,3,Ice melting or breaking up slowly,,
2680,020032,4,Ice melting or breaking up rapidly,,
2681,020032,5-6,Reserved,,
2682,020032,7,Missing value,,
2683,020033,1,Icing from ocean spray,,
2684,020033,2,Icing from fog,,
2685,020033,3,Icing from rain,,
2686,020033,All 4,Missing value,,
2687,020034,0,No sea ice In sight,,
2688,020034,1,"Ship in open lead more than 1.0 nautical mile wide, or ship in fast ice with boundary beyond limit of visibility",,
2689,020034,2,Sea ice present In concentrations less than 3/10 (3/8) open water or very open pack ice,Sea ice concentration is uniform in the observation area,Ship in ice or within 0.5 nautical mile of ice edge
2690,020034,3,"4/10 to 6/10 (3/8 to less than 6/8), open pack ice",Sea ice concentration is uniform in the observation area,Ship in ice or within 0.5 nautical mile of ice edge
2691,020034,4,"7/10 to 8/10 (6/8 to less 7/8), close pack ice",Sea ice concentration is uniform in the observation area,Ship in ice or within 0.5 nautical mile of ice edge
2692,020034,5,"9/10 or more, but not 10/10 (7/8 to less than 8/8), very close pack ice",Sea ice concentration is uniform in the observation area,Ship in ice or within 0.5 nautical mile of ice edge
2693,020034,6,Strips and patches of pack ice with open water between,Sea ice concentration is not uniform in the observation area,Ship in ice or within 0.5 nautical mile of ice edge
2694,020034,7,Strips and patches of close or very close pack ice with areas of lesser concentration between,Sea ice concentration is not uniform in the observation area,Ship in ice or within 0.5 nautical mile of ice edge
2695,020034,8,"Fast ice with open water, very open or open pack Ice to seaward of the ice boundary",Sea ice concentration is not uniform in the observation area,Ship in ice or within 0.5 nautical mile of ice edge
2696,020034,9,Fast ice with close or very close pack ice to seaward of the boundary,Sea ice concentration is not uniform in the observation area,Ship in ice or within 0.5 nautical mile of ice edge
2697,020034,10-13,Reserved,,
2698,020034,14,"Unable to report, because of darkness, lack of visibility, or because ship is more than 0.5 nautical mile away from ice edge",,
2699,020034,15-30,Reserved,,
2700,020034,31,Missing value,,
2701,020035,0,No ice of land origin,,
2702,020035,1,"1 5 icebergs, no growlers or bergy bits",,
2703,020035,2,"6 10 icebergs, no growlers or bergy bits",,
2704,020035,3,"11 20 Icebergs, no growlers or bergy bits",,
2705,020035,4,Up to and Including 10 growlers and bergy bits   no icebergs,,
2706,020035,5,More than 10 growlers and bergy bits   no Icebergs,,
2707,020035,6,"1 5 icebergs, with growlers and bergy bits",,
2708,020035,7,"6 10 icebergs, with growlers and bergy bits",,
2709,020035,8,"11 20 icebergs, with growlers and bergy bits",,
2710,020035,9,"More than 20 Icebergs, with growlers and bergy bits   a major hazard to navigation",,
2711,020035,10-13,Reserved,,
2712,020035,14,"Unable to report, because of darkness, lack of visibility or because only sea ice is visible",,
2713,020035,15,Missing value,,
2714,020036,0,Ship in open water with floating ice in sight,,
2715,020036,1,Ship In easily penetrable ice; conditions improving,,
2716,020036,2,Ship In easily penetrable ice; conditions not changing,,
2717,020036,3,Ship in easily penetrable ice; conditions worsening,,
2718,020036,4,Ship in ice difficult to penetrate; conditions improving,,
2719,020036,5,Ship in ice difficult to penetrate; conditions not changing,,
2720,020036,6,Ship in ice difficult to penetrate and conditions worsening. Ice forming and floe freezing together,,
2721,020036,7,Ship in ice difficult to penetrate and conditions worsening. Ice under slight pressure,,
2722,020036,8,Ship in ice difficult to penetrate and conditions worsening. Ice under moderate or severe pressure,,
2723,020036,9,Ship in ice difficult to penetrate and conditions worsening. Ship beset,,
2724,020036,10-29,Reserved,,
2725,020036,30,"Unable to report, because of darkness or lack of visibility",,
2726,020036,31,Missing value,,
2727,020037,0,"New ice only (frazil ice, grease ice, slush, shuga)",,
2728,020037,1,"Nilas or ice rind, less than 10 cm thick",,
2729,020037,2,"Young ice (grey ice, grey white ice), 10-30 cm thick",,
2730,020037,3,Predominantly new and/or young ice with some first year ice,,
2731,020037,4,Predominantly thin first year ice with some new and/or young ice,,
2732,020037,5,All thin first year ice (30 70 cm thick),,
2733,020037,6,Predominantly medium first year ice (70 120 cm thick) and thick first year ice (>120 cm thick) with some thinner (younger) first year ice,,
2734,020037,7,All medium and thick first year ice,,
2735,020037,8,Predominantly medium and thick first year ice with some old ice (usually more than 2 metres thick),,
2736,020037,9,Predominantly old ice,,
2737,020037,10-29,Reserved,,
2738,020037,30,"Unable to report, because of darkness, lack of visibility or because only ice of land origin is visible or because ship is more than 0.5 nautical mile away from ice edge",,
2739,020037,31,Missing value,,
2740,020040,0,Drift snow ended before the hour of observation,,
2741,020040,1,Intensity diminishing,,
2742,020040,2,No change,,
2743,020040,3,Intensity increasing,,
2744,020040,4,"Continues, apart from interruption lasting less than 30 minutes",,
2745,020040,5,General drift snow has become drift snow near the ground,,
2746,020040,6,Drift snow near the ground has become general drift snow,,
2747,020040,7,Drift snow has started again after an interruption of more than 30 minutes,,
2748,020040,8 -14,Reserved,,
2749,020040,15,Missing value,,
2750,020041,0,No icing,,
2751,020041,1,Light icing,,
2752,020041,2,Light icing In cloud,,
2753,020041,3,Light icing In precipitation,,
2754,020041,4,Moderate icing,,
2755,020041,5,Moderate icing in cloud,,
2756,020041,6,Moderate icing in precipitation,,
2757,020041,7,Severe icing,,
2758,020041,8,Severe icing in cloud,,
2759,020041,9,Severe icing in precipitation,,
2760,020041,10,Trace of icing,,
2761,020041,11,Trace of icing in cloud,,
2762,020041,12,Trace of icing in precipitation,,
2763,020041,13-14,Reserved,,
2764,020041,15,Missing value,,
2765,020042,0,No icing,,
2766,020042,1,Icing present,,
2767,020042,2,Reserved,,
2768,020042,3,Missing value,,
2769,020045,0,No SLD conditions present,,
2770,020045,1,SLD conditions present,,
2771,020045,2,Reserved,,
2772,020045,3,Missing value,,
2773,020048,0,Stability,,
2774,020048,1,Diminution,,
2775,020048,2,Intensification,,
2776,020048,3,Unknown,,
2777,020048,4-14,Reserved,,
2778,020048,15,Missing value,,
2779,020050,0,Reserved,,
2780,020050,1,1st low cloud,,
2781,020050,2,2nd low cloud,,
2782,020050,3,3rd low cloud,,
2783,020050,4,1st medium cloud,,
2784,020050,5,2nd medium cloud,,
2785,020050,6,3rd medium cloud,,
2786,020050,7,1st high cloud,,
2787,020050,8,2nd high cloud,,
2788,020050,9-254,Reserved,,
2789,020050,255,Missing value,,
2790,020055,0,"Cumulus, if any, are quite small; generally less than 2/8 coverage, except on windward slopes of elevated terrain; average width of cloud is at least as great as its vertical thickness",,
2791,020055,1,"Cumulus of intermediate size with cloud cover less than 5/8; average cloud width is more than its vertical thickness; towers are vertical with little or no evidence of precipitation, except along slopes of elevated terrain; a general absence of middle and",,
2792,020055,2,Swelling Cumulus with rapidly growing tall turrets which decrease in size with height and whose tops tend to separate from the longer cloud body and evaporate within minutes of the separation,,
2793,020055,3,Swelling Cumulus with towers having a pronounced tilt in a downwind direction; vertical cloud thickness is more than 11/2 times that of its average width,,
2794,020055,4,Swelling Cumulus with towers having a pronounced tilt in an upwind direction; vertical cloud thickness is more than 11/2 times that of its average width,,
2795,020055,5,"Tall Cumulus congestus with vertical thickness more than twice the average width; not organized in clusters or lines; one or more layers of clouds extend out from the cloud towers, although no continuous cloud layers exist",,
